
---------- Begin Simulation Statistics ----------
simSeconds                                   0.006154                       # Number of seconds simulated (Second)
simTicks                                   6154249000                       # Number of ticks simulated (Tick)
finalTick                                  6154249000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     35.18                       # Real time elapsed on the host (Second)
hostTickRate                                174937740                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     679176                       # Number of bytes of host memory used (Byte)
simInsts                                     17575331                       # Number of instructions simulated (Count)
simOps                                       17575382                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   499587                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     499588                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         12308500                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.700328                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.427902                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        19665524                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   320319                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       19162056                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    100                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2410460                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1325132                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 182                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            12272084                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.561435                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.078830                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6145483     50.08%     50.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1676657     13.66%     63.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1142570      9.31%     73.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    931282      7.59%     80.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    937087      7.64%     88.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    498770      4.06%     92.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    526663      4.29%     96.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    304339      2.48%     99.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    109233      0.89%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              12272084                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   21108     15.43%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     15.43% # attempts to use FU when none available (Count)
