
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003851                       # Number of seconds simulated (Second)
simTicks                                   3850825500                       # Number of ticks simulated (Tick)
finalTick                                  3850825500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     20.35                       # Real time elapsed on the host (Second)
hostTickRate                                189230982                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681452                       # Number of bytes of host memory used (Byte)
simInsts                                     15680313                       # Number of instructions simulated (Count)
simOps                                       15680366                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   770534                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     770536                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          7701652                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.491167                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.035967                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        15786159                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      256                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       15781775                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2944                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               106048                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             36746                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 107                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             7655238                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.061566                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.144971                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2595581     33.91%     33.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1378013     18.00%     51.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    862316     11.26%     63.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    905972     11.83%     75.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    758764      9.91%     84.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    436642      5.70%     90.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    389909      5.09%     95.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    220834      2.88%     98.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    107207      1.40%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               7655238                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  212594      4.01%      4.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                1868207     35.26%     39.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                 3192794     60.26%     99.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.53% # attempts to use FU when none available (Count)
